apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
120-02-001,"540 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"538 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"532 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"530 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"536 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-047,"535 Everett Av, Palo Alto",univ,1/2mi,PC-2145,,Cannot assess for this zone.,65,30000,1964,none,37.450666,-122.161527
120-02-048,"521 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6500,1932,none,37.450399,-122.161647
120-02-048,"523 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6500,1932,none,37.450399,-122.161647
120-02-049,"519 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-049,"517 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-049,"515 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-050,"509 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"505 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"275 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"507 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-051,"241 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"245 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"243 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"239 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-052,"231 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1930,none,37.45047,-122.16205
120-02-053,"223 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1906,Category 4,37.450555,-122.162185
120-02-054,"215 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1906,Category 4,37.45064,-122.16232
120-02-054,"217 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1906,Category 4,37.45064,-122.16232
120-02-055,"209 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1905,Category 3,37.450725,-122.162456
120-02-056,"201 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1928,none,37.450811,-122.162591
120-02-056,"516 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1928,none,37.450811,-122.162591
120-02-056,"520 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1928,none,37.450811,-122.162591
120-02-056,"512 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1928,none,37.450811,-122.162591
120-03-002,"550 Lytton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,6000,1992,none,37.449774,-122.159557
120-03-002,"556 Lytton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,6000,1992,none,37.449774,-122.159557
120-03-024,"555 University Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,7500,1970,none,37.449202,-122.158719
120-03-025,"435 Tasso St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,14062,1984,none,37.449434,-122.158983
120-03-026,"425 Tasso St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,5625,1904,Category 2; Deemed eligible for the NRHP in 1998; Eligible for the CRHR due to eligibility for the NRHP,37.449583,-122.159219
120-03-027,"417 Tasso St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,3500,1898,none,37.449642,-122.159347
120-03-028,"415 Tasso St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,3000,1910,none,37.449697,-122.159435
120-03-030,"500 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,16606,2018,none,37.44838,-122.158741
120-03-030,"508 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,16606,2018,none,37.44838,-122.158741
120-03-030,"516 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,16606,2018,none,37.44838,-122.158741
120-03-030,"528 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,16606,2018,none,37.44838,-122.158741
120-03-031,"530 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,5125,1957,none,37.448606,-122.158536
120-03-032,"540 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,5000,1982,none,37.448716,-122.158432
120-03-033,"546 University Av, Palo Alto",univ,1/2mi,CD-C (GF)(P),,Cannot assess for this zone.,65,4500,1955,none,37.448818,-122.158331
120-03-064,"537 Hamilton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,8925,2014,none,37.448257,-122.15758
120-03-065,"525 Hamilton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,5775,1898,none,37.448107,-122.15773
120-03-066,"505 Hamilton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,13500,1971,Found Not CRHR Eligible by Page Turnbull; 20210903,37.447873,-122.157929
120-03-067,"541 Cowper St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,10275,1978,none,37.447986,-122.158201
120-03-069,"525 University Av, Palo Alto #800F",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,59063,1966,Eligible for CRHR by Page & Turnbull; 20201203,37.44891,-122.159365
120-03-069,"525 University Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,59063,1966,Eligible for CRHR by Page & Turnbull; 20201203,37.44891,-122.159365
120-03-070,"530 Lytton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,29363,,none,37.449244,-122.159896
120-03-071,"530 Lytton Av, Palo Alto #300",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,29363,1975,none,37.449244,-122.159896
120-03-072,,univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,29363,,none,37.449244,-122.159896
120-03-084,"520 Webster St, Palo Alto",univ,1/2mi,PC-3995,,Cannot assess for this zone.,65,60019,,none,37.448531,-122.158022
120-03-085,"533 Cowper St, Palo Alto",univ,1/2mi,PC-4052,,Cannot assess for this zone.,65,8025,1994,none,37.44812,-122.158441
120-03-085,"535 Cowper St, Palo Alto",univ,1/2mi,PC-4052,,Cannot assess for this zone.,65,8025,1994,none,37.44812,-122.158441
120-03-085,"531 Cowper St, Palo Alto",univ,1/2mi,PC-4052,,Cannot assess for this zone.,65,8025,1994,none,37.44812,-122.158441
120-04-001,"605 Cowper St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,5000,1921,none,37.447501,-122.157616
120-04-001,"609 Cowper St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,5000,1921,none,37.447501,-122.157616
120-04-002,"512 Hamilton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,4500,1921,none,37.447604,-122.157515
120-04-003,"518 Hamilton Av, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,4500,1921,none,37.447701,-122.157419
120-04-005,"550 Hamilton Av, Palo Alto",univ,1/2mi,PC-2545,,Cannot assess for this zone.,65,57500,1971,none,37.448134,-122.156784
120-04-033,,univ,1/2mi,PC-2130,,Cannot assess for this zone.,65,25000,1900,none,37.447495,-122.156635
120-04-034,"501 Forest Av, Palo Alto",univ,1/2mi,PC-2130,,Cannot assess for this zone.,65,28000,1965,none,37.447173,-122.156845
120-04-037,"705 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,7675,1906,Category 3,37.446867,-122.156332
120-04-037,"701 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,7675,1906,Category 3,37.446867,-122.156332
120-04-038,"725 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,23500,1969,none,37.446778,-122.155955
120-04-079,"507 Homer Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1910,Category 3,37.446218,-122.155442
120-04-079,"505 Homer Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1910,Category 3,37.446218,-122.155442
120-04-080,"759 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1923,none,37.446303,-122.155577
120-04-081,"745 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1930,none,37.446442,-122.155658
120-04-082,"735 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1951,none,37.446528,-122.155794
120-04-083,"711 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,8825,1896,Category 3,37.446774,-122.156184
120-04-111,"611 Cowper St, Palo Alto",univ,1/2mi,CD-C (P),,Cannot assess for this zone.,65,6000,2016,none,37.447437,-122.157233
120-09-009,"189 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,5000,1901,none,37.450944,-122.162941
120-09-009,"507 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,5000,1901,none,37.450944,-122.162941
120-09-009,"505 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,5000,1901,none,37.450944,-122.162941
120-09-010,"185 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,5000,1914,none,37.451029,-122.163077
120-09-011,"179 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2011,none,37.451168,-122.163158
120-09-012,"171 Cowper St, Palo Alto #B",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2007,none,37.451253,-122.163293
120-09-012,"171 Cowper St, Palo Alto #A",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2007,none,37.451253,-122.163293
120-09-013,"159 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1999,none,37.451338,-122.163429
120-09-025,"130 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,6000,1923,none,37.451459,-122.164648
120-09-027,"164 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4950,2011,none,37.451037,-122.163839
120-09-028,"166 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,2050,1921,none,37.450918,-122.16365
120-09-029,"176 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4600,1920,none,37.450756,-122.163532
120-09-030,"483 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4700,1963,none,37.450691,-122.163289
120-09-030,"485 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4700,1963,none,37.450691,-122.163289
120-09-031,"479 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4700,1953,none,37.450583,-122.163396
120-09-031,"471 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4700,1953,none,37.450583,-122.163396
120-09-031,"475 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,4700,1953,none,37.450583,-122.163396
120-09-032,"467 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1902,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.450514,-122.163565
120-09-032,"465 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1902,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.450514,-122.163565
120-09-033,"461 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1905,none,37.450407,-122.163672
120-09-033,"459 Hawthorne Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1905,none,37.450407,-122.163672
120-09-034,"453 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,7000,1958,none,37.450299,-122.163779
120-09-035,"449 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,7000,1958,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.450191,-122.163885
120-09-036,"429 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,6262,1968,none,37.450088,-122.163986
120-09-036,"427 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,6262,1968,none,37.450088,-122.163986
120-09-036,"431 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,6262,1968,none,37.450088,-122.163986
120-09-037,"419 Hawthorne Av, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5850,1920,none,37.449983,-122.164069
120-09-038,"193 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,6050,1922,none,37.449752,-122.164134
120-09-039,"187 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5500,1961,none,37.449842,-122.164276
120-09-039,"185 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5500,1961,none,37.449842,-122.164276
120-09-039,"181 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5500,1961,none,37.449842,-122.164276
120-09-039,"183 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5500,1961,none,37.449842,-122.164276
120-09-040,"173 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,5650,1922,none,37.449945,-122.164389
120-09-041,"169 Waverley St, Palo Alto",univ,1/2mi,RM-20,,Cannot assess for this zone.,65,7250,1964,none,37.450041,-122.164495
120-09-042,"159 Waverley St, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7250,1920,none,37.450126,-122.16463
120-09-043,"151 Waverley St, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7250,1920,none,37.450212,-122.164765
120-09-044,"428 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,6300,1928,none,37.450361,-122.164419
120-09-044,"426 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,6300,1928,none,37.450361,-122.164419
120-09-045,"432 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,2015,none,37.450464,-122.164318
120-09-046,"446 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1900,none,37.450571,-122.164211
120-09-047,"456 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1961,none,37.450679,-122.164104
120-09-047,"458 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1961,none,37.450679,-122.164104
120-09-047,"454 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,1961,none,37.450679,-122.164104
120-09-048,"466 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,2021,Category 4,37.450787,-122.163997
120-09-048,"466 Ruthven Av, Palo Alto #A",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,2021,Category 4,37.450787,-122.163997
120-09-049,"470 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,2011,none,37.450894,-122.163891
120-09-049,"472 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7000,2011,none,37.450894,-122.163891
120-09-050,"465 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2020,none,37.451119,-122.164525
120-09-051,"459 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2015,none,37.451011,-122.164631
120-09-051,"457 Ruthven Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2015,none,37.451011,-122.164631
120-09-052,"451 Ruthven Av, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1905,none,37.450903,-122.164738
120-09-053,"437 Ruthven Av, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,5600,1937,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.450763,-122.164794
120-09-054,"429 Ruthven Av, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,5000,1910,none,37.450645,-122.164884
120-09-055,"121 Waverley St, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,11250,1904,Category 4; Deemed eligible for the NRHP in 1998; Eligible for the CRHR due to eligibility for the NRHP,37.450408,-122.165064
120-09-056,"115 Waverley St, Palo Alto",univ,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7900,1905,none,37.450513,-122.16524
120-09-057,"101 Waverley St, Palo Alto",univ,1/2mi,R-1,,"Can't assess due to creek, flag lot, or ROW easement configuration.",65,11183,1900,none,37.450646,-122.165393
120-09-058,"422 Palo Alto Av, Palo Alto #A",univ,1/2mi,R-1,,"Can't assess due to creek, flag lot, or ROW easement configuration.",65,14173,,none,37.45092,-122.165159
120-09-058,"422 Palo Alto Av, Palo Alto",univ,1/2mi,R-1,,"Can't assess due to creek, flag lot, or ROW easement configuration.",65,14173,,none,37.45092,-122.165159
120-09-059,"426 Palo Alto Av, Palo Alto",univ,1/2mi,R-1,,"Can't assess due to creek, flag lot, or ROW easement configuration.",65,11871,1902,Deemed eligible for the NRHP in 1998; Eligible for the CRHR due to eligibility for the NRHP,37.45121,-122.165049
120-09-060,"436 Palo Alto Av, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,8099,1908,none,37.451386,-122.164945
120-09-061,"144 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,6700,1974,none,37.451351,-122.164476
120-09-061,"136 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,6700,1974,none,37.451351,-122.164476
120-09-062,"150 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,8300,1928,none,37.451223,-122.164274
120-10-001,"518 Everett Av, Palo Alto #A",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1417,1962,none,37.450107,-122.161205
120-10-002,"518 Everett Av, Palo Alto #B",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1470,1962,none,37.450019,-122.161066
120-10-003,"518 Everett Av, Palo Alto #C",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1417,1962,none,37.450107,-122.161205
120-10-004,"518 Everett Av, Palo Alto #D",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1470,1962,none,37.450019,-122.161066
120-10-005,"518 Everett Av, Palo Alto #E",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1417,1962,none,37.450107,-122.161205
120-10-006,"518 Everett Av, Palo Alto #F",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1470,1962,none,37.450019,-122.161066
120-10-007,"518 Everett Av, Palo Alto #G",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1777,1962,none,37.449918,-122.160925
120-10-008,"528 Everett Av, Palo Alto #A",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1386,1962,none,37.450225,-122.161088
120-10-009,"528 Everett Av, Palo Alto #B",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1438,1962,none,37.450137,-122.160948
120-10-010,"528 Everett Av, Palo Alto #C",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1386,1962,none,37.450225,-122.161088
120-10-011,"528 Everett Av, Palo Alto #D",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1438,1962,none,37.450137,-122.160948
120-10-012,"528 Everett Av, Palo Alto #E",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1386,1962,none,37.450225,-122.161088
120-10-013,"528 Everett Av, Palo Alto #F",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1438,1962,none,37.450137,-122.160948
120-10-014,"528 Everett Av, Palo Alto #G",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1716,1962,none,37.450052,-122.160793
120-10-015,"533 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1375,1976,none,37.449755,-122.160192
120-10-015,"531 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1375,1976,none,37.449755,-122.160192
120-10-016,"535 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1333,1976,none,37.449829,-122.160308
120-10-017,"537 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1375,1976,none,37.449755,-122.160192
120-10-018,"539 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1333,1976,none,37.449829,-122.160308
120-10-023,"550 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1182,1982,none,37.450268,-122.160627
120-10-024,"538 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5250,1961,none,37.450304,-122.160953
120-10-024,"540 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5250,1961,none,37.450304,-122.160953
120-10-024,"536 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5250,1961,none,37.450304,-122.160953
120-10-025,"543 Everett Ct, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,4250,1966,none,37.450142,-122.160696
120-10-037,"551 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1243,1991,none,37.449897,-122.160051
120-10-038,"545 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1218,1991,none,37.449887,-122.160151
120-10-039,"550 Everett Ct, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1169,1991,none,37.450028,-122.160256
120-10-040,"548 Everett Ct, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1284,1991,none,37.450019,-122.16036
120-10-042,"515 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,9100,2009,none,37.449556,-122.160475
120-10-043,"355 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,9100,1924,none,37.449416,-122.160614
120-10-043,"359 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,9100,1924,none,37.449416,-122.160614
120-10-043,"351 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,9100,1924,none,37.449416,-122.160614
120-10-043,"347 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,9100,1924,none,37.449416,-122.160614
120-10-044,"343 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6500,1907,none,37.449648,-122.160801
120-10-045,"327 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,4000,1905,Category 4,37.449726,-122.161009
120-10-046,"321 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,4500,1905,Category 4,37.449799,-122.161124
120-10-047,"315 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,3800,1905,none,37.44987,-122.161236
120-10-048,"309 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,3300,1905,none,37.44993,-122.161332
120-10-048,"311 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,3300,1905,none,37.44993,-122.161332
120-10-049,"305 Cowper St, Palo Alto",univ,1/2mi,RMD (NP),,Cannot assess for this zone.,65,3400,1905,none,37.449987,-122.161422
120-10-054,"525 Lytton Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1644,1920,none,37.449663,-122.160302
120-10-055,"524 Everett Ct, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,1628,1998,none,37.449786,-122.160509
120-11-008,"325 Channing Av, Palo Alto #101",univ,1/2mi,AMF,,Cannot assess for this zone.,65,572,2004,none,37.443065,-122.156569
120-11-009,"325 Channing Av, Palo Alto #102",univ,1/2mi,AMF,,Cannot assess for this zone.,65,689,2004,none,37.443094,-122.156651
120-11-010,"325 Channing Av, Palo Alto #103",univ,1/2mi,AMF,,Cannot assess for this zone.,65,643,2004,none,37.443143,-122.156728
120-11-011,"325 Channing Av, Palo Alto #104",univ,1/2mi,AMF,,Cannot assess for this zone.,65,627,2004,none,37.443189,-122.156801
120-11-012,"325 Channing Av, Palo Alto #105",univ,1/2mi,AMF,,Cannot assess for this zone.,65,620,2004,none,37.443433,-122.156551
120-11-013,"325 Channing Av, Palo Alto #106",univ,1/2mi,AMF,,Cannot assess for this zone.,65,621,2004,none,37.443387,-122.156479
120-11-014,"325 Channing Av, Palo Alto #107",univ,1/2mi,AMF,,Cannot assess for this zone.,65,626,2004,none,37.443341,-122.156407
120-11-015,"325 Channing Av, Palo Alto #108",univ,1/2mi,AMF,,Cannot assess for this zone.,65,585,2004,none,37.44328,-122.15636
120-11-016,"325 Channing Av, Palo Alto #109",univ,1/2mi,AMF,,Cannot assess for this zone.,65,569,2004,none,37.443366,-122.156276
120-11-017,"325 Channing Av, Palo Alto #110",univ,1/2mi,AMF,,Cannot assess for this zone.,65,623,2004,none,37.443391,-122.156357
120-11-018,"325 Channing Av, Palo Alto #111",univ,1/2mi,AMF,,Cannot assess for this zone.,65,627,2004,none,37.443437,-122.156429
120-11-019,"325 Channing Av, Palo Alto #112",univ,1/2mi,AMF,,Cannot assess for this zone.,65,622,2004,none,37.443483,-122.156501
