apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-30-063,"1805 El Camino Real, Palo Alto #201",calave,1/2mi,CN,,Cannot assess for this zone.,65,2656,2007,none,37.429346,-122.150572
124-30-064,"1805 El Camino Real, Palo Alto #301",calave,1/2mi,CN,,Cannot assess for this zone.,65,914,2007,none,37.429298,-122.150547
124-30-065,"1805 El Camino Real, Palo Alto #302",calave,1/2mi,CN,,Cannot assess for this zone.,65,914,2007,none,37.429347,-122.150507
124-30-066,"158 Park Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,,none,37.430162,-122.149765
124-30-067,"360 Leland Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,18750,,none,37.429849,-122.149404
124-30-068,"1820 Ash St, Palo Alto",calave,1/2mi,RM-20,,Cannot assess for this zone.,65,4000,2015,none,37.429455,-122.150142
124-30-069,"1845 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5718,2016,none,37.429231,-122.150324
124-31-001,"305 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1990,none,37.429764,-122.147126
124-31-001,"301 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1990,none,37.429764,-122.147126
124-31-002,"2060 Birch St, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,5000,,none,37.429555,-122.146885
124-31-003,"304 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,5000,2000,none,37.429499,-122.146622
124-31-004,"316 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,5000,1927,none,37.429385,-122.146717
124-31-005,"328 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1908,none,37.429308,-122.146883
124-31-006,"332 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2010,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.429193,-122.146978
